from_city,to_city,start_lat,start_lng,end_lat,end_lng,mode,cost,time,distance
New York,Los Angeles,40.6943,-73.9249,34.1141,-118.4068,flight,208,13406,367.23
New York,Los Angeles,40.6943,-73.9249,34.1141,-118.4068,road,200,38187,354.18
New York,Los Angeles,40.6943,-73.9249,34.1141,-118.4068,rail,91,20135,709.61
New York,Chicago,40.6943,-73.9249,41.8375,-87.6866,flight,184,12656,871.16
New York,Chicago,40.6943,-73.9249,41.8375,-87.6866,road,108,38421,927.71
New York,Chicago,40.6943,-73.9249,41.8375,-87.6866,rail,91,28404,1186.82
New York,Miami,40.6943,-73.9249,25.784,-80.2101,flight,192,11704,1181.85
New York,Miami,40.6943,-73.9249,25.784,-80.2101,road,63,28428,219.97
New York,Miami,40.6943,-73.9249,25.784,-80.2101,rail,82,15197,39.15
New York,Houston,40.6943,-73.9249,29.786,-95.3885,flight,315,28580,1793.9
New York,Houston,40.6943,-73.9249,29.786,-95.3885,road,126,27884,180.82
New York,Houston,40.6943,-73.9249,29.786,-95.3885,rail,63,13762,518.22
New York,Dallas,40.6943,-73.9249,32.7935,-96.7667,flight,169,12159,369.09
New York,Dallas,40.6943,-73.9249,32.7935,-96.7667,road,167,21458,45.36
New York,Dallas,40.6943,-73.9249,32.7935,-96.7667,rail,44,19693,799.7
New York,Philadelphia,40.6943,-73.9249,40.0077,-75.1339,flight,252,7990,878
New York,Philadelphia,40.6943,-73.9249,40.0077,-75.1339,road,153,15813,487.15
New York,Philadelphia,40.6943,-73.9249,40.0077,-75.1339,rail,43,12115,162.8
New York,Atlanta,40.6943,-73.9249,33.7628,-84.422,flight,201,16802,1341.54
New York,Atlanta,40.6943,-73.9249,33.7628,-84.422,road,152,35605,524.44
New York,Atlanta,40.6943,-73.9249,33.7628,-84.422,rail,81,23365,850.66
New York,Washington,40.6943,-73.9249,38.9047,-77.0163,flight,301,26545,1523.6
New York,Washington,40.6943,-73.9249,38.9047,-77.0163,road,148,30563,877.38
New York,Washington,40.6943,-73.9249,38.9047,-77.0163,rail,47,21167,395.19
New York,Boston,40.6943,-73.9249,42.3188,-71.0852,flight,268,23785,1700.69
New York,Boston,40.6943,-73.9249,42.3188,-71.0852,road,193,36737,718.93
New York,Boston,40.6943,-73.9249,42.3188,-71.0852,rail,80,18439,1106.66
New York,Phoenix,40.6943,-73.9249,33.5722,-112.0892,flight,172,31029,1777.12
New York,Phoenix,40.6943,-73.9249,33.5722,-112.0892,road,51,17106,228.04
New York,Phoenix,40.6943,-73.9249,33.5722,-112.0892,rail,45,11410,1106.04
New York,Detroit,40.6943,-73.9249,42.3834,-83.1024,flight,205,20180,1534.79
New York,Detroit,40.6943,-73.9249,42.3834,-83.1024,road,78,42016,157.83
New York,Detroit,40.6943,-73.9249,42.3834,-83.1024,rail,31,18167,1038.31
New York,Seattle,40.6943,-73.9249,47.6211,-122.3244,flight,111,16516,1392.49
New York,Seattle,40.6943,-73.9249,47.6211,-122.3244,road,140,15241,383.39
New York,Seattle,40.6943,-73.9249,47.6211,-122.3244,rail,98,27454,768.01
New York,San Francisco,40.6943,-73.9249,37.7558,-122.4449,flight,123,15816,313.17
