from_city,to_city,start_lat,start_lng,end_lat,end_lng,mode,cost,time,distance,route_id,intermediate_stops,carbon_emissions,line_color,line_thickness,normalized_cost,normalized_time,normalized_distance
New York,Los Angeles,40.6943,-73.9249,34.1141,-118.4068,flight,208,13406,367.23,1,0,44.0676,green,2.08,0.416,0.3103671806269389,0.19706572077124107
New York,Los Angeles,40.6943,-73.9249,34.1141,-118.4068,road,200,38187,354.18,2,1,88.545,gray,2.0,0.4,0.8840811223781081,0.19006273175600621
New York,Los Angeles,40.6943,-73.9249,34.1141,-118.4068,rail,91,20135,709.61,3,2,35.4805,blue,0.9099999999999999,0.182,0.46615270639440665,0.38079624790044486
New York,Chicago,40.6943,-73.9249,41.8375,-87.6866,flight,184,12656,871.16,4,0,104.5392,green,1.8399999999999999,0.368,0.29300365791545124,0.46748842226145565
New York,Chicago,40.6943,-73.9249,41.8375,-87.6866,road,108,38421,927.71,5,5,231.9275,gray,1.08,0.216,0.8894985414640922,0.49783470799414004
New York,Chicago,40.6943,-73.9249,41.8375,-87.6866,rail,91,28404,1186.82,6,1,59.341,blue,0.9099999999999999,0.182,0.6575913321294624,0.6368802623035272
New York,Miami,40.6943,-73.9249,25.784,-80.2101,flight,192,11704,1181.85,7,0,141.82199999999997,green,1.92,0.384,0.2709635597536695,0.6342132235751198
New York,Miami,40.6943,-73.9249,25.784,-80.2101,road,63,28428,219.97,8,4,54.9925,gray,0.63,0.126,0.65814696485623,0.11804195353879011
New York,Miami,40.6943,-73.9249,25.784,-80.2101,rail,82,15197,39.15,9,2,1.9575,blue,0.8200000000000001,0.164,0.3518312728619716,0.021008967045704565
New York,Houston,40.6943,-73.9249,29.786,-95.3885,flight,315,28580,1793.9,10,0,215.268,green,3.15,0.63,0.6616659721257582,0.9626560915271882
New York,Houston,40.6943,-73.9249,29.786,-95.3885,road,126,27884,180.82,11,3,45.205,gray,1.26,0.252,0.6455526230494976,0.09703298649308555
New York,Houston,40.6943,-73.9249,29.786,-95.3885,rail,63,13762,518.22,12,2,25.911,blue,0.63,0.126,0.31860906607399175,0.27809110861877445
New York,Dallas,40.6943,-73.9249,32.7935,-96.7667,flight,169,12159,369.09,13,0,44.2908,green,1.6900000000000002,0.338,0.2814974301986387,0.19806384794122853
New York,Dallas,40.6943,-73.9249,32.7935,-96.7667,road,167,21458,45.36,14,5,11.34,gray,1.6700000000000002,0.334,0.496781960457471,0.024341423887437014
New York,Dallas,40.6943,-73.9249,32.7935,-96.7667,rail,44,19693,799.7,15,3,39.98500000000001,blue,0.43999999999999995,0.088,0.45591980367643653,0.42914102034354895
